,id,academy_id,school_type,grade,status
262433,I382023,D13320,3,3,0
262434,I382024,D3391,3,3,2
262451,I38204,D2106,3,3,1
262453,I382041,D13434,3,3,0
262462,I38205,D2106,3,3,1
262473,I38206,D0618,3,3,0
262475,I382061,D1144,3,3,1
262484,I38207,D1782,3,3,1
262517,I38210,D1496,3,3,2
262528,I38211,D2066,3,3,1
262537,I382118,D10939,3,3,0
262539,I38212,D0950,3,3,2
262550,I38213,D1741,3,3,0
262561,I38214,D0950,3,3,2
262572,I38215,D0950,3,3,2
262575,I382152,D13444,3,3,2
262580,I382157,D12493,3,3,1
262583,I38216,D0950,3,3,2
262594,I38217,D0950,3,3,2
262602,I382177,D13535,3,3,2
262605,I38218,D1900,3,3,1
262609,I382186,D13428,3,3,0
262610,I382187,D13428,3,3,0
262611,I382188,D13428,3,3,0
262612,I382189,D13428,3,3,0
262613,I38219,D1496,3,3,2
262614,I382190,D13428,3,3,0
262615,I382191,D13428,3,3,0
262624,I38220,D2066,3,3,2
262634,I382209,D13428,3,3,0
262646,I38222,D0855,3,3,2
262655,I382228,D13535,3,3,0
262657,I38223,D0211,3,3,1
262663,I382235,D8457,3,3,1
262668,I38224,D0018,3,3,1
262679,I38225,D2089,3,3,2
262690,I38226,D2089,3,3,2
262699,I382268,D1050,3,3,0
262701,I38227,D2089,3,3,2
262707,I382275,D11339,3,3,2
262708,I382276,D11339,3,3,2
262709,I382277,D11339,3,3,2
262710,I382278,D11339,3,3,2
262712,I38228,D2089,3,3,2
262724,I382290,D0902,3,3,0
262731,I382297,D6905,3,3,1
262745,I38231,D1895,3,3,1
262771,I382333,D4059,3,3,2
262775,I382337,D4059,3,3,2
262781,I382342,D7008,3,3,0
262805,I382364,D10037,3,3,0
262806,I382365,D3781,3,3,0
262807,I382366,D12003,3,3,0
262808,I382367,D3781,3,3,1
262811,I38237,D1033,3,3,2
262812,I382370,D6232,3,3,0
262829,I382386,D12317,3,3,1
262831,I382388,D11390,3,3,2
262832,I382389,D11390,3,3,2
262833,I38239,D2076,3,3,2
262834,I382390,D11390,3,3,2
262835,I382391,D11390,3,3,2
262836,I382392,D11390,3,3,2
262837,I382393,D11390,3,3,2
262838,I382394,D11390,3,3,2
262839,I382395,D11390,3,3,2
262840,I382396,D11390,3,3,2
262842,I382398,D11390,3,3,2
262843,I382399,D11390,3,3,2
262844,I38240,D2076,3,3,2
262845,I382400,D11390,3,3,2
262847,I382402,D3562,3,3,1
262858,I382412,D13539,3,3,0
262861,I382415,D10004,3,3,1
262864,I382418,D3546,3,3,1
262866,I38242,D2110,3,3,2
262872,I382425,D11960,3,3,2
262874,I382427,D4059,3,3,1
262877,I38243,D1288,3,3,2
262888,I38244,D0723,3,3,1
262889,I382440,D9117,3,3,0
262890,I382441,D11960,3,3,2
262891,I382442,D11960,3,3,2
262892,I382443,D11960,3,3,2
262895,I382446,D11960,3,3,2
262907,I382457,D13567,3,3,0
262909,I38246,D0495,3,3,0
262910,I38247,D2109,3,3,0
262911,I38248,D2109,3,3,0
262912,I38249,D2109,3,3,1
262913,I38250,D2109,3,3,0
262919,I38256,D0642,3,3,2
262921,I38258,D1777,3,3,1
262922,I38259,D1777,3,3,1
262923,I38260,D0991,3,3,2
262924,I38261,D1777,3,3,1
262930,I38267,D2111,3,3,0
262931,I38268,D2111,3,3,0
262932,I38269,D2111,3,3,0
262933,I38270,D2111,3,3,1
262935,I38272,D0866,3,3,2
262944,I382793,D13464,3,3,0
262945,I382794,D13464,3,3,0
262946,I382795,D13464,3,3,0
262947,I382796,D13464,3,3,0
262948,I382797,D13464,3,3,0
262949,I382798,D13464,3,3,0
262950,I382799,D13464,3,3,0
262951,I38280,D0040,3,3,1
262952,I382800,D13464,3,3,0
262953,I382801,D13464,3,3,0
262954,I382802,D13464,3,3,0
262955,I382803,D13464,3,3,0
262956,I382804,D13464,3,3,0
262957,I382805,D13464,3,3,0
262958,I382806,D13464,3,3,0
262959,I382807,D13464,3,3,0
262960,I382808,D13464,3,3,0
262961,I382809,D13464,3,3,0
262962,I38281,D0500,3,3,2
262963,I382810,D13464,3,3,0
262964,I382811,D13464,3,3,0
262965,I382812,D13464,3,3,0
262966,I382813,D13464,3,3,0
262967,I382814,D13464,3,3,0
262968,I382815,D13464,3,3,0
262969,I382816,D13464,3,3,0
262970,I382817,D13464,3,3,0
262971,I382818,D13464,3,3,0
262972,I382819,D13464,3,3,0
262973,I38282,D2109,3,3,1
262974,I382820,D13464,3,3,0
262975,I382821,D13464,3,3,0
262976,I382822,D13464,3,3,0
262977,I382823,D13464,3,3,0
262978,I382824,D13464,3,3,0
262979,I382825,D13464,3,3,0
262980,I382826,D13464,3,3,0
262981,I382827,D13464,3,3,0
262982,I382828,D13464,3,3,0
262983,I382829,D13464,3,3,0
262984,I38283,D2109,3,3,0
262985,I382830,D13464,3,3,0
262986,I382831,D13464,3,3,0
262987,I382832,D13464,3,3,0
262988,I382833,D13464,3,3,0
262989,I382834,D13464,3,3,0
262990,I382835,D13464,3,3,0
262991,I382836,D13464,3,3,0
262992,I382837,D13464,3,3,0
262993,I382838,D13464,3,3,0
262994,I382839,D13464,3,3,0
262995,I38284,D2104,3,3,2
262996,I382840,D13464,3,3,0
262997,I382841,D13464,3,3,0
262998,I382842,D13464,3,3,0
262999,I382843,D13464,3,3,0
263000,I382844,D13464,3,3,0
263001,I382845,D13464,3,3,0
263002,I382846,D13464,3,3,0
263003,I382847,D13464,3,3,0
263004,I382848,D13464,3,3,0
263005,I382849,D13464,3,3,0
263007,I382850,D13464,3,3,0
263008,I382851,D13464,3,3,0
263009,I382852,D13464,3,3,0
263010,I382853,D13464,3,3,0
263011,I382854,D13464,3,3,0
263012,I382855,D13464,3,3,0
263013,I382856,D13464,3,3,0
263014,I382857,D13464,3,3,0
263015,I382858,D13464,3,3,0
263016,I382859,D13464,3,3,0
263017,I38286,D2120,3,3,1
263018,I382860,D13464,3,3,0
263019,I382861,D13464,3,3,0
263020,I382862,D13464,3,3,0
263021,I382863,D13464,3,3,0
263022,I382864,D13464,3,3,0
263023,I382865,D13464,3,3,0
